title,description,class
"Dollar Slumps Broadly, More Losses Seen", NEW YORK (Reuters) - The dollar stumbled on Friday as  persistent concerns over the U.S. economy and comments  throughout the week from European Central Bank and Federal  Reserve officials allowed the currency no respite.,Business
LeBron makes NBA history,"Cleveland Cavaliers youngster LeBron James scored 26 points in his side #39;s 96-74 victory over the Chicago Bulls to become the youngest player in NBA history to reach 2,000 points.",Sports
Students heckle Iranian president,Iranian students interrupt a speech by President Khatami to mark Student Day at Tehran university.,World
Bonds #39; 700th home run ball fetches 800 grand but legal battle &lt;b&gt;...&lt;/b&gt;,"The man who emerged from a pile of baseball fans clutching Barry Bonds #39; 700th home run ball last month is now richer by \$804,129.",Sports
Moore Accused of Offering Gifts for Votes (AP),"AP - Republicans say filmmaker Michael Moore should be prosecuted for offering underwear, potato chips and Ramen noodles to college students in exchange for their promise to vote for John Kerry.",World
Israel  #39;determined to complete Gaza plan #39;,Israel is determined to go ahead with its unilateral withdrawal from the Gaza Strip - regardless of the death of Yasser Arafat and even if settlers resist - a top Israeli general who helped design the plan says.,World
Security Bytes: Pix source code for sale,"com staff. A group called The Source Code Club says it #39;s selling the blueprint for an older version of the popular Cisco Systems Pix firewall for \$24,000.",Sci/Tech
Yahoo's Profit More Than Triples,The Internet media company's quarterly profit was boosted by stronger online advertising and its acquisition of Overture Services.,Business
"After decades of longing, generations can rejoice","At 11:33 am yesterday, in a mist of rain and confetti, a boy and his father watched history being made. The boy was 45 years old, his dad 77.",Sports
UNDATED: 2-of-8 shooting.,Keith Langford had 19 of his 24 points in the first half as Kansas coasted from the outset. JR Giddens had 14 of his 16 points for Kansas (6-0) in the first half.,Sports
Efforts underway to hold Korean crisis talks: US (AFP),"AFP - Diplomatic efforts are underway to hold a preparatory meeting for the six-party talks aimed at ending the nuclear crisis in the Korean peninsula, the US State Department said.",World
Frederick Gets 8 Years in Iraq Abuse Case,"US Army Reserve Staff Sgt. Ivan  quot;Chip quot; Frederick is shown in a 2003 photo taken in Kuwait. Frederick, the highest ranking soldier charged in the Abu Ghraib prison scandal, was sentenced Thursday, Oct. 21, 2004 ",World
GE Capital vs. the Small-Town Folk Hero,"Aaron M. Feuestein, a corporate folk hero who paid workers out of his own pocket during a rough patch, wants to buy his old company back. A storybook ending, right? Not quite.",Business
We May Not Be the Only Humans on Earth,A 3ft tall  #39;hobbit #39; discovered on a remote Indonesian island has raised the extraordinary possibility that our human species might not be alone on Earth.,Sci/Tech
Giants feel for Warner,Nine games and a 5-4 record is hardly enough time for players to build an everlasting loyalty to a quarterback. So the Giants were not torn into factions by yesterday #39;s ,Sports
"E-Trade Profits Rise, Despite Weakness (AP)","AP - E-Trade Financial Corp.'s third-quarter profit rose 29 percent, despite a sharp drop in investor trading at its online brokerage and signs of weakness in its banking business. The company also raised its fourth quarter outlook a bit.",Business
Apple unveils iMac G5,"Just unveiled at Apple Expo Paris, the machine is indeed an all-in-one device that integrates the system into the display unit as per the original iMac but to an extent discarded with the second-generation,  #39;angle-poise #39; design.",Sci/Tech
Two Black Watch soliders fighting for their lives in Iraq,United States troops have stormed key areas of Fallujah just hours after two soldiers of the Black Watch battle group were seriously injured in an attack by a suicide bomber.,World
"After that trip, no going back","TORONTO -- When the Bruins embarked on their annual February trip in 2000, prospects for a successful season were grim. They were racked with injuries, and the losing was weighing on everyone. Ray Bourque, who began playing in Boston in 1979, always thought he would finish his career in the black and gold, but he started rethinking that as the ...",Sports
Dementieva advances to semis in Belgium,"Top seed Elena Dementieva of Russia edged Czech Denisa Chladkova 7-5, 6-4 Friday to reach the semifinals of the Gaz de France Stars tennis tournament.",Sports
Canada court rules  #39;iPod levy #39; illegal,"The Canadian Federal Court of Appeal has ruled that special levies applied to the sale of MP3 players, such as the iPod, are illegal.",Sci/Tech
Ballmer: Microsoft Software Too Expensive,Microsoft CEO Steve Ballmer recently declared that a \$100 PC was needed to combat piracy in the emerging economies. Ballmer was quoted as stating that  quot;There has to be...a \$100 computer to go down-market in some of these countries.,Sci/Tech
German economic recovery slows down,"LONDON, November 11 (newratings.com) - Germany witnessed a slowdown in its economic growth momentum during the third quarter this year, with the nation #39;s GDP growth rate declining to 0.1 from the relatively robust growth rate of 0.4 in the first two ",Business
Tiger stripes,The Auburn Tigers did everything to make themselves at home against Tennessee in the SEC Championship Saturday. They exceeded the 32.9 points per game they put up in Jordan-Hare ,Sports
Columbian Marxist Group Planned Assassination on President Bush,"( Columbia -- November 28, 2004) -- (AP) There #39;s new information that a rebel group in Colombia had planned to assassinatePresident Bush during his visit there last week.",World
Canucks' Bertuzzi Plays in Charity Game (AP),"AP - Vancouver Canucks forward Todd Bertuzzi returned to the ice Sunday for the first time since being suspended for attacking Colorado's Steve Moore, playing in a charity game that included more than 30 locked out NHL players.",Sports
European stocks see early rally fizzle out (AFP),"AFP - European stock markets drifted lower in early trading as profit-taking set in after recent gains, despite a modest rise on Wall Street and well-received results from cellphone giant Vodafone.",Sci/Tech
Science: The Earth Explores Cassini Data,The Cassini spacecraft has sent back images of Saturn #39;s moon Titan giving scientists the closest views yet of the mysterious satellite.,Sci/Tech
KMG Chemicals Stock Soars on 1Q Earnings,KMG Chemicals Inc. ended the week on a strong note as its stock surged some 130 percent after the pesticide maker handed Wall Street fiscal first-quarter profit that more than doubled from last year.,Business
"Online Shopping Increases, Malls And Stores Report OK Sales",Minneapolis (WCCO) Were you part of the shopping opener this weekend? Malls and department stores report sales were not spectacular.,Business
Seattle team traces origin of ivory via elephant DNA map,"By analyzing elephant DNA, a research team led by Seattle scientists has discovered a way to trace the origins of ivory and help stem the poaching that still threatens the giant beasts across much of their habitat.",Sci/Tech
Pitcher Shot in Leg,Rookie Kyle Denney was hit in the calf by a shot that came through the side of the Indians' bus Wednesday as the team traveled to the airport after a victory over the Royals.,Sports
Court reins in Aussie unions #39; right to strike,"SYDNEY - Australia #39;s High Court has ruled that trade unions cannot take industrial action over political, social or environmental issues.",World
Google Steals a Page from Amazon's Book Search," FRANKFURT/LONDON (Reuters) - Google Inc. on Wednesday  introduced a new search technology to help publishers sell  books online, a fast-growing market dominated by Internet  retailer Amazon.com.",Sci/Tech
Nokia to offer phones with 'old-world' styling,"One of the new handsets invokes Garbo, according to the Finnish phone giant. Another is described as ""sleek and sexy.""",Sci/Tech
Networks seek okay for drug ads on TV,Officials with Canada #39;s top TV broadcasters said they expect regulators soon will allow them access to the free-spending prescription drug industry.,Business
Army deserter Jenkins released in Japan,"US Army deserter Charles Jenkins was released from military jail on Saturday after serving 25 days for abandoning his squadron in 1965 and defecting to North Korea, where he lived for nearly four decades.",World
Enron #39;s Lay to Have Two Trials,"Former Enron Corp. chairman Kenneth L. Lay, who for weeks had been pressing to be tried on his own on criminal charges related to the company #39;s demise, yesterday got more than he bargained for.",Business
Ransom may save Bigleys life- Report,"A Kuwaiti newspaper reported that a new group is trying to secure Bigleys release, which could include the possibility of a ransom.",World
ESPN to Launch Mobile Phone Service in Sprint Deal (Reuters),"Reuters - Walt Disney Co.'s  ESPN\sports television network is launching its own brand of mobile\phone service in a deal with Sprint Corp.  intended to\lure new users with sports news sent over a next-generation\network, the companies said on Wednesday.",Sci/Tech
MIT Selects Its First Female President (Reuters),"Reuters - The Massachusetts Institute of\Technology on Thursday named Susan Hockfield as its first\female president, a breakthrough for the world-renowned school\that has churned out more than 50 Nobel prizewinners but which\ranks below the national average for its percentage of female\students.",Sci/Tech
Ecclestone: No more talks,"Bernie Ecclestone says he #39;s not prepared to negotiate his offer to promote the British Grand Prix at Silverstone. The race was given provisional status on the 2005 Formula One calendar, pending successful ",Sports
How to reach space - on a pair of junkyard shocks,"WINSLOW, ARIZ. - By 6:45 on a chilly desert evening, a deep indigo sky has squeezed what remains of the day into thin lines of pink and turquoise twilight along the horizon.",Sci/Tech
Microsoft Debuts Desktop Search Tool (Reuters),"Reuters - Microsoft Corp.  on Monday\unveiled a new, preliminary version of its search tool for\finding documents, e-mail and other files stored on personal\computer hard drives.",Sci/Tech
Israel plans 530 settler homes,"Israel is planning to build more than 530 new settler homes in the West Bank after Washington signalled it would accept growth in Jewish enclaves in the occupied territory, political sources say.",World
No half measures with Half-Life 2,Could Half-Life 2 possibly live up to the hype? After almost two years of tantalising previews and infuriating delays it #39;s safe to say that this is the most highly-anticipated computer game of all time.,Sci/Tech
Dollar Recovers Footing After Fed, LONDON (Reuters) - The dollar fought back from one-month  lows against the euro and Swiss franc on Wednesday as investors  viewed its sell-off in the wake of the Federal Reserve's  verdict on interest rates as overdone.,Business
Australia launches Indian test campaign with thumping 217-run &lt;b&gt;...&lt;/b&gt;,"By SANDEEP NAKAI Associated Press Writer BANGALORE, India (AP). Australia launched its test series campaign in India with a thumping 217-run victory in the opening match Sunday.",Sports
UPDATE 1-Trump Hotels ends \$400 mln talks with DLJ,"Trump Hotels and Casino Resorts Inc. (DJTC.OB: Quote, Profile, Research) , trying to restructure \$1.8 billion in debt, said on Wednesday that it and DLJ Merchant Banking Partners ",Business
Briefly: PeopleSoft-Oracle trial delayed,"roundup Plus: IBM, Boeing team up for defense work...TI touts combo chip with VoIP, Wi-Fi...ContextWeb nabs \$3 million.",Sci/Tech
German government cuts Deutsche Telekom stake,"German state banking group KfW is selling up to 4 billion euros (2.8 billion pounds) worth of shares in Deutsche Telekom, continuing the privatisation of the German phone operator.",Business
Creative plans US\$100m advertising campaign for its MP3 players,"Creative Chairman and CEO Sim Wong Hoo is aiming for a 40 percent share of the global market for MP3 players next year. To achieve its target, the Singapore-based company will ",Sci/Tech
Israeli Airstrike Kills Hamas Militant (AP),"AP - An Israeli aircraft fired two missiles at a car traveling in the Gaza Strip late Thursday, killing a senior Hamas commander who was among the government's most-wanted fugitives for years  #151; the latest in a series of Israeli assassinations that have weakened the militant group.",World
Pope Struggles Through Mass at Lourdes,"LOURDES, France - A sick man among the sick, Pope John Paul II struggled through Sunday Mass at a French shrine that draws desperate people seeking miracle cures. The 84-year-old pontiff gasped, trembled and asked aides for help during the 2 1/2 hour service in sizzling heat...",World
Australian FM praises Powell as a great friend to Canberra (AFP),"AFP - Outgoing US Secretary of State Colin Powell had been a great friend to Australia who helped fight terrorism in Asia, Foreign Minister Alexander Downer said.",World
Egyptian Petition Seeks Term Limits (AP),AP - More than 650 politicians and intellectuals vowed Saturday to push for a constitutional amendment to stop Egyptian President Hosni Mubarak from serving another term in office,World
"US, Iraq to probe missing N-equipment","Washington has said it will join Baghdad in a full investigation into missing machinery from Iraq #39;s nuclear facilities, and Iraq #39;s science minister has invited UN inspectors to the country.",World
Swimming Canada fires coach,"CALGARY (CP) - Swimming Canada has fired head coach Dave Johnson, who came under fire for Canada #39;s poor performance in the Olympic pool in Athens.",Sports
Japanese Officials Assure Recovery (AP),AP - Japanese financial officials tried to play down worries Friday that a planned revision in calculating growth may show the economy shrank instead of grew slightly in the quarter ended Sept. 30.,Business
"Italy's 'Two Simonas' Freed, Jubilation at Home", ROME (Reuters) - The release of two Italian women aid  workers in Iraq was greeted with joy and relief on Tuesday  following three weeks of anguish in Italy over their abduction.,World
Ex-Nebraska coach Solich hired to turn around Ohio University,"Former Nebraska coach Frank Solich was introduced on Thursday as Ohio #39;s new football coach, returning to the state where he grew up and promising to rebuild a program that went just 11-35 in the past four years.",Sports
Hiring slump continues for many in high-tech,"Researchers at the University of Illinois in Chicago have confirmed what many high-tech workers have long suspected: The job market for technology workers remains bleak, years after the US recession officially ended in late 2001.",Business
Mansell out but Silverstone roars back,"Ecclestone is understood to have entered Silverstone #39;s name on the provisional list of venues for the 2005 season, which would leave no room for Brand Synergy, the mystery consortium that has Mansell on its board.",Sports
Francophonie endorses Martin #39;s reform idea,"OUAGADOUGOU, BURKINA FASO - Delegates to the Francophonie summit decided Saturday not to expel Ivory Coast from the organization, instead they passed a resolution condemning the violence in the country and threatened future sanctions.",World
UN appeals for release of workers in Afghanistan,"The United Nations again appealed for the safe return of three of its workers held hostage in Afghanistan on Thursday, three weeks after they were snatched from their car on a busy street in central Kabul.",World
Afghans to Free 400 Pakistani Prisoners (AP),"AP - Afghan President Hamid Karzai promised Tuesday to repatriate 400 Pakistani prisoners who fought with the former ruling Taliban regime and have been held in Afghan jails since 2001, a Pakistani official said.",World
Dozens of Internet Crime Suspects Nabbed,"A summer-long effort targeting Internet crime has resulted in dozens of arrests and convictions on charges including use of ""spam"" e-mail to steal credit card numbers, computer hacking and online fraud, Justice Department officials said Thursday. &lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2""\ color=""#666666""&gt;&lt;B&gt;-AP&lt;/B&gt;&lt;/FONT&gt;",Sci/Tech
Carter Endorses Chavez Win in Venezuela,"CARACAS, Venezuela - President Hugo Chavez survived a referendum to oust him, according to results Monday, and former U.S. President Jimmy Carter and other election observers urged the opposition to accept the vote, deflating claims of fraud...",World
Burst.com Claims Microsoft Destroyed Evidence,"Top managers at Microsoft told employees to destroy evidence contained in old e-mail during 2000, even as the company faced several antitrust lawsuits at the time, court documents filed by Burst.",Business
EU fines 7 firms for price-fixing,"BRUSSELS Outokumpu, IMI and five other companies were fined a total of E222.3 million on Friday by the European Commission for fixing the prices of copper tubing used in household plumbing.",Business
AMD further details dual-core Opterons,"SAN JOSE, CALIFORNIA - Advanced Micro Devices Inc.'s (AMD's) dual-core Opteron processor will fit into the same area occupied by its single-core product, helping to hold down manufacturing costs, AMD said Tuesday at the Fall Processor Forum.",Sci/Tech
Video Shows UN Hostages in Afghanistan,Three people believed to be the UN hostages seized by militants in Afghanistan have appeared in a video shown by Arabic TV Al-Jazeera.,World
Allstate to reduce policies in Florida,"In the first major insurance fallout from four hurricanes that inflicted billions of dollars of damage in Florida, Allstate Corp. said Wednesday that it would restrict sales of insurance policies in the state.",Business
Company: Ameritrade Hldg Corp New,"With presidential election-related uncertainty safely in the past, retail investors have returned to the US stock market with gusto, and they #39;re likely to stay engaged, several trading companies said Friday.",Business
Search Rushes to the Desktop,"Late Wednesday night, Yahoo (Quote, Chart) unveiled plans to debut a beta version of Yahoo Desktop Search in the coming weeks. At the same time, Ask Jeeves (Quote, Chart) confirmed to internetnews.",Sci/Tech
WADA Sanctions \$1.47 Million Rise in Expenditure, NEW YORK (Reuters) - The World Anti-Doping Agency (WADA)  has approved a \$1.47 million increase in its expenditure budget  for next year.,Sports
What a nightmare: US men fall to Argentina,"Athens, Greece (Sports Network) - Argentina snapped a 58-game winning streak by the United States two years ago at the World Championships.",Sports
Pizza pair scoff at FA #39;s call to order,"THE Football Association is determined to bring forward the peace summit between Arsenal and Manchester United, despite the clubs opposition to being forced into a superficial show of reconciliation.",Sports
National Foods Valuation A\$6.11-A\$6.65/Share -2-,"MELBOURNE (Dow Jones)--Stepping up its takeover defense from predator New Zealand Fonterra Cooperative Group Ltd. (FCO.YY), Australian dairy target National Foods Ltd.",Business
Maligned Team USA settles for Bronze,"For much of the bronze-medal game against Lithuania, several of the younger players on Team USA were having themselves a good time.",Sports
"Caesars Profit Rises, But Outlook Lags (Reuters)",Reuters - Caesars Entertainment Inc.\on Thursday posted a rise in third-quarter profit as Las Vegas\hotels filled up and Atlantic City properties squeaked out a\profit that was unexpected by the company.,Business
Carter advances to second round at US Mid-Amateur,"Huntington, W.Va., golfer Pat Carter has advanced to the second round of match play at the US Mid-Amateur golf tournament. Carter defeated Scott Crawshaw of Pasadena, Calif.",Sports
All-American girl,That was then and this is now. That was there and this is here. So which is a bigger moment? Mary Lou Retton's  quot;No-Fault Vault quot; that produced America's first Olympic all-around gold medal in women's gymnastics 20 years ago in Los Angeles? Or Carly Patterson's  quot;Dream Beam quot; here last night that clinched the second?,Sports
Suspected Militants Kidnap Iraqi Officer-Jazeera," DUBAI (Reuters) - Suspected militants have kidnapped an  Iraqi intelligence officer in response to the fighting in the  holy city of Najaf, Al Jazeera television reported on Tuesday.",World
Lukas emphasizes his past success with females against males,"In rationalizing the decision to enter Azeri in the \$4-million Breeders Cup Classic (G1), trainer D. Wayne Lukas emphasized his past success in starting females against males.",Sports
Henry Relishes Job of Covering Owens (AP),AP - No Sharpies. No situps. No pom-pom shaking. No spikes.,Sports
"Kiwi barrister to hear Ganguly #39;s appeal (LEAD, changing dateline &lt;b&gt;...&lt;/b&gt;","Sports India, Cricket: London, Nov 16 : New Zealand barrister Tim Castle was Tuesday appointed to hear India captain Sourav Ganguly #39;s appeal against his two-Test suspension, the International Cricket Council (ICC) announced here.",Sports
PINSENT WEIGHS UP FUTURE,British rowing hero Matthew Pinsent is in no hurry make a decision over whether he will compete at the next Olympics in Beijing. Pinsent guided Britain to first place in the coxless fours at the Athens games ,Sports
Agents Tell Players There #39;s Little New In NHL Lockout,"An NHL lockout that is nine weeks old will not end soon unless the owners show some willingness to negotiate, agents said after a meeting with the players union.",Sports
Dell updates consumer IT services,Dell will expand its lineup of consumer IT services with security tips and installation assistance on products other than PCs. The company has created a new Dell Solutions Center web page (www.,Sci/Tech
Phils give Baylor managing interview,The former manager of the Colorado Rockies and Chicago Cubs was in town to interview for the Phillies #39; vacancy at the same position.,Sports
PeopleSoft board gives thumbs down to Oracle's offer,"PeopleSoft's Board of Directors voted Wednesday to recommend that its stockholders reject Oracle's takeover offer of \$24 per share. Oracle CEO Larry Ellison quickly responded, saying the offer is final and that it is now up to PeopleSoft's shareholders to make a determination.",Sci/Tech
Study: Workers Find IM a Mixed Blessing,"A report released Thursday by the Pew Internet and American Life Project says US workers are increasingly using instant messaging (IM) in the workplace, with approximately 11 million Americans logging into an IM program daily.",Sci/Tech
Oil Hits  #36;46 as YUKOS Cuts China Supply (Reuters),Reuters - Oil prices hit  #36;46 on Monday after\Russia's YUKOS suspended some oil exports to China and concern\lingered over storm-related supply disruptions into the United\States.,Business
Chechnya to Swear in New President (AP),"AP - Chechnya's new president was to be sworn in on Tuesday, nearly five months after its previous leader was assassinated and a day after it was announced the republic would hold parliamentary elections in the spring.",World
UK Music Industry Sues 28 Song-Swappers,The British music industry is to sue 28 internet users it says are illegally swapping music online. The British Phonographic Industry (BPI) says it is targeting  quot;major uploaders quot; - those who make music available to share free with others.,Sci/Tech
Myanmar's Ex-Leader Accused of Corruption (AP),"AP - Myanmar's ruling junta has accused ex-Prime Minister Khin Nyunt of corruption and said he was ousted before he could unveil findings of his investigation of senior army commanders, official newspapers said.",World
Mortgage lending growth slows,"Mortgage borrowing rose at its slowest monthly pace in more than two years in September and approvals for home loans dropped to a four-year low, in another sign that the housing market has turned.",Business
Tech's leading women get props,"Women bosses in technology get plenty of bragging rights in a new Wall Street Journal ranking of the ""Top 50 Women to Watch."" Missing Links",Sci/Tech
Best airs his views on Arsenal rivalry,Manchester United legend George Best has revealed his disdain for the perpetrators of the food fight which took place at Old Trafford last weekend after the highly-charged game with Arsenal.,Sports
Snow Storms Blanket Southern New Zealand (AP),"AP - Snow storms isolated New Zealand's fourth biggest city of Dunedin on Monday, closing major roads, shutting schools and factories, and freezing newborn lambs.",World
"Dollar Falls, Market Ponders China's Move (Reuters)",Reuters - The dollar fell in choppy trade on\Thursday as traders tried to sort out what a surprise interest\rate hike from China meant for currencies.,Business
